date,day,weather,student_count,event,food_prepared_kg,food_consumed_kg,waste_kg,meal_type
2023-01-01,Sunday,Humid,414,Sports Day,224.2,185.94,38.27,Breakfast
2023-01-02,Monday,Rainy,349,None,164.86,138.2,26.66,Lunch
2023-01-03,Tuesday,Cloudy,401,Seminar,206.15,159.56,46.59,Lunch
2023-01-04,Wednesday,Cloudy,191,Fest,103.67,87.65,16.02,Dinner
2023-01-05,Thursday,Rainy,382,Seminar,217.31,168.74,48.57,Lunch
2023-01-06,Friday,Cloudy,264,None,150.41,142.78,7.64,Breakfast
2023-01-07,Saturday,Cloudy,317,None,134.7,122.53,12.17,Dinner
2023-01-08,Sunday,Rainy,197,Fest,99.72,77.65,22.07,Breakfast
2023-01-09,Monday,Cloudy,214,None,107.83,100.32,7.51,Dinner
2023-01-10,Tuesday,Rainy,214,Seminar,120.13,102.93,17.2,Breakfast
2023-01-11,Wednesday,Rainy,267,Fest,139.83,105.59,34.24,Lunch
2023-01-12,Thursday,Cloudy,288,Fest,164.86,127.71,37.15,Lunch
2023-01-13,Friday,Rainy,305,Fest,171.23,157.21,14.01,Lunch
2023-01-14,Saturday,Rainy,265,Seminar,137.86,125.2,12.66,Dinner
2023-01-15,Sunday,Sunny,242,None,144.11,109.69,34.42,Breakfast
2023-01-16,Monday,Cloudy,326,Sports Day,160.13,128.05,32.08,Dinner
2023-01-17,Tuesday,Humid,392,Fest,205.35,186.74,18.61,Dinner
2023-01-18,Wednesday,Rainy,409,Seminar,171.37,136.99,34.38,Dinner
2023-01-19,Thursday,Cloudy,265,Sports Day,137.63,119.62,18.01,Breakfast
2023-01-20,Friday,Humid,248,Fest,100.74,94.34,6.4,Lunch
2023-01-21,Saturday,Humid,284,None,131.54,119.82,11.72,Dinner
2023-01-22,Sunday,Sunny,360,Seminar,160.81,147.62,13.2,Breakfast
2023-01-23,Monday,Cloudy,311,Sports Day,166.57,131.43,35.14,Lunch
2023-01-24,Tuesday,Cloudy,283,Fest,157.25,140.48,16.77,Dinner
2023-01-25,Wednesday,Cloudy,336,Seminar,191.96,166.14,25.82,Dinner
2023-01-26,Thursday,Humid,320,Fest,148.28,111.46,36.82,Dinner
2023-01-27,Friday,Cloudy,377,Fest,163.52,149.96,13.55,Lunch
2023-01-28,Saturday,Humid,327,Sports Day,150.63,124.33,26.29,Dinner
2023-01-29,Sunday,Sunny,380,Fest,220.57,194.98,25.59,Breakfast
2023-01-30,Monday,Rainy,244,Seminar,121.73,114.22,7.5,Breakfast
2023-01-31,Tuesday,Rainy,165,None,90.51,85.24,5.27,Dinner
2023-02-01,Wednesday,Humid,289,Fest,170.51,139.76,30.75,Breakfast
2023-02-02,Thursday,Cloudy,242,Seminar,127.4,101.18,26.22,Lunch
2023-02-03,Friday,Rainy,246,None,114.1,107.71,6.4,Breakfast
2023-02-04,Saturday,Sunny,381,Fest,206.81,174.9,31.92,Lunch
2023-02-05,Sunday,Cloudy,327,Sports Day,148.12,125.8,22.32,Breakfast
2023-02-06,Monday,Cloudy,318,Sports Day,153.2,133.21,19.99,Lunch
2023-02-07,Tuesday,Sunny,293,None,128.03,113.34,14.7,Dinner
2023-02-08,Wednesday,Sunny,341,None,156.59,136.62,19.97,Lunch
2023-02-09,Thursday,Humid,269,Fest,116.4,108.52,7.88,Breakfast
2023-02-10,Friday,Rainy,313,None,157.66,127.55,30.11,Breakfast
2023-02-11,Saturday,Cloudy,230,Sports Day,102.12,89.28,12.84,Breakfast
2023-02-12,Sunday,Humid,369,Seminar,183.27,149.11,34.15,Breakfast
2023-02-13,Monday,Humid,330,Fest,187.05,162.65,24.4,Lunch
2023-02-14,Tuesday,Rainy,296,Fest,148.54,123.49,25.05,Breakfast
2023-02-15,Wednesday,Rainy,297,Seminar,144.58,128.45,16.13,Breakfast
2023-02-16,Thursday,Rainy,378,Seminar,172.14,161.96,10.18,Dinner
2023-02-17,Friday,Sunny,276,Fest,165.55,137.2,28.35,Dinner
2023-02-18,Saturday,Rainy,196,None,96.08,74.3,21.77,Breakfast
2023-02-19,Sunday,Humid,227,None,132.49,109.6,22.89,Lunch
2023-02-20,Monday,Sunny,323,Sports Day,161.76,152.72,9.04,Dinner
2023-02-21,Tuesday,Rainy,297,Sports Day,126.54,117.5,9.04,Dinner
2023-02-22,Wednesday,Rainy,254,Seminar,145.92,112.97,32.95,Dinner
2023-02-23,Thursday,Cloudy,264,Fest,130.64,109.28,21.36,Dinner
2023-02-24,Friday,Cloudy,353,Sports Day,187.19,168.63,18.57,Breakfast
2023-02-25,Saturday,Humid,295,Fest,161.67,144.69,16.98,Lunch
2023-02-26,Sunday,Rainy,322,Seminar,192.62,178.1,14.52,Breakfast
2023-02-27,Monday,Sunny,328,Seminar,136.16,112.31,23.85,Lunch
2023-02-28,Tuesday,Humid,264,None,120.89,101.98,18.91,Breakfast
2023-03-01,Wednesday,Rainy,257,None,142.92,118.56,24.36,Dinner
2023-03-02,Thursday,Sunny,345,Seminar,169.44,145.66,23.77,Lunch
2023-03-03,Friday,Humid,413,Fest,221.69,185.7,35.99,Breakfast
2023-03-04,Saturday,Rainy,316,None,187.63,142.12,45.5,Dinner
2023-03-05,Sunday,Cloudy,162,None,82.75,74.37,8.38,Dinner
2023-03-06,Monday,Rainy,211,Sports Day,111.8,91.92,19.88,Dinner
2023-03-07,Tuesday,Sunny,337,Fest,185.79,139.39,46.39,Dinner
2023-03-08,Wednesday,Humid,282,None,113.68,102.73,10.96,Dinner
2023-03-09,Thursday,Sunny,308,Seminar,162.42,122.05,40.37,Breakfast
2023-03-10,Friday,Cloudy,243,Fest,101.61,88.19,13.42,Breakfast
2023-03-11,Saturday,Rainy,206,Fest,84.6,78.75,5.85,Lunch
2023-03-12,Sunday,Rainy,325,Fest,142.2,107.32,34.88,Dinner
2023-03-13,Monday,Sunny,418,Seminar,217.84,166.84,51.0,Lunch
2023-03-14,Tuesday,Cloudy,370,Seminar,220.67,182.55,38.12,Breakfast
2023-03-15,Wednesday,Humid,330,Sports Day,181.39,157.6,23.79,Lunch
2023-03-16,Thursday,Humid,265,Seminar,117.74,90.31,27.43,Lunch
2023-03-17,Friday,Rainy,366,Seminar,162.11,122.8,39.31,Lunch
2023-03-18,Saturday,Sunny,206,Fest,84.68,77.16,7.52,Dinner
2023-03-19,Sunday,Sunny,346,Fest,162.6,123.87,38.73,Lunch
2023-03-20,Monday,Rainy,267,Seminar,150.57,124.86,25.7,Lunch
2023-03-21,Tuesday,Humid,400,Seminar,166.87,135.7,31.17,Lunch
2023-03-22,Wednesday,Rainy,351,Sports Day,193.43,181.8,11.63,Breakfast
2023-03-23,Thursday,Sunny,333,Fest,138.07,107.51,30.56,Breakfast
2023-03-24,Friday,Sunny,264,Fest,147.5,125.29,22.21,Breakfast
2023-03-25,Saturday,Cloudy,396,Sports Day,215.09,173.78,41.3,Lunch
2023-03-26,Sunday,Rainy,351,Fest,158.87,146.52,12.35,Lunch
2023-03-27,Monday,Sunny,365,Sports Day,197.45,180.88,16.57,Lunch
2023-03-28,Tuesday,Cloudy,378,Seminar,162.01,146.63,15.38,Breakfast
2023-03-29,Wednesday,Cloudy,375,Sports Day,210.62,189.67,20.95,Dinner
2023-03-30,Thursday,Rainy,301,Seminar,128.3,98.62,29.68,Breakfast
2023-03-31,Friday,Rainy,169,None,97.04,83.12,13.92,Lunch
2023-04-01,Saturday,Sunny,279,Seminar,147.92,134.97,12.95,Lunch
2023-04-02,Sunday,Sunny,181,None,79.19,62.9,16.29,Lunch
2023-04-03,Monday,Humid,204,None,103.17,92.79,10.38,Dinner
2023-04-04,Tuesday,Cloudy,277,Sports Day,137.64,113.14,24.5,Breakfast
2023-04-05,Wednesday,Cloudy,341,Seminar,190.95,171.64,19.3,Lunch
2023-04-06,Thursday,Humid,292,Sports Day,158.91,147.98,10.93,Lunch
2023-04-07,Friday,Sunny,298,Fest,157.31,148.6,8.71,Lunch
2023-04-08,Saturday,Rainy,228,Fest,131.38,107.53,23.84,Breakfast
2023-04-09,Sunday,Cloudy,246,Fest,120.23,109.1,11.13,Lunch
2023-04-10,Monday,Humid,326,Fest,193.95,164.86,29.09,Lunch
2023-04-11,Tuesday,Humid,363,Seminar,197.73,161.85,35.88,Lunch
2023-04-12,Wednesday,Cloudy,299,Sports Day,140.58,118.22,22.36,Lunch
2023-04-13,Thursday,Sunny,289,None,157.23,122.33,34.9,Breakfast
2023-04-14,Friday,Sunny,216,Fest,121.1,106.77,14.33,Dinner
2023-04-15,Saturday,Humid,200,Fest,118.55,92.07,26.48,Breakfast
2023-04-16,Sunday,Cloudy,285,None,123.84,112.6,11.24,Lunch
2023-04-17,Monday,Humid,376,Sports Day,184.24,142.35,41.89,Dinner
2023-04-18,Tuesday,Cloudy,312,None,145.95,124.05,21.89,Lunch
2023-04-19,Wednesday,Sunny,288,Fest,161.57,140.08,21.49,Dinner
2023-04-20,Thursday,Sunny,377,Seminar,200.47,155.93,44.54,Lunch
2023-04-21,Friday,Cloudy,284,Sports Day,134.62,102.29,32.33,Lunch
2023-04-22,Saturday,Cloudy,255,Seminar,130.15,100.97,29.18,Lunch
2023-04-23,Sunday,Cloudy,227,Seminar,117.18,110.38,6.79,Breakfast
2023-04-24,Monday,Cloudy,152,None,71.11,55.42,15.69,Breakfast
2023-04-25,Tuesday,Sunny,341,Fest,154.99,126.14,28.84,Breakfast
2023-04-26,Wednesday,Cloudy,336,Sports Day,150.46,125.29,25.17,Dinner
2023-04-27,Thursday,Humid,297,Seminar,163.27,129.53,33.73,Dinner
2023-04-28,Friday,Sunny,350,Sports Day,143.18,110.56,32.62,Breakfast
2023-04-29,Saturday,Rainy,303,Sports Day,162.69,143.97,18.71,Dinner
2023-04-30,Sunday,Rainy,403,Seminar,176.3,132.42,43.89,Dinner
2023-05-01,Monday,Sunny,209,Sports Day,111.76,91.68,20.08,Breakfast
2023-05-02,Tuesday,Cloudy,277,None,132.9,114.88,18.02,Lunch
2023-05-03,Wednesday,Rainy,376,Sports Day,170.1,151.32,18.77,Breakfast
2023-05-04,Thursday,Humid,306,None,160.31,141.53,18.78,Dinner
2023-05-05,Friday,Cloudy,289,Fest,124.62,109.14,15.48,Breakfast
2023-05-06,Saturday,Rainy,364,Seminar,168.45,138.52,29.94,Dinner
2023-05-07,Sunday,Sunny,377,Seminar,199.63,183.46,16.17,Breakfast
2023-05-08,Monday,Rainy,320,None,151.52,114.59,36.93,Lunch
2023-05-09,Tuesday,Rainy,360,Seminar,149.6,137.66,11.95,Dinner
2023-05-10,Wednesday,Cloudy,346,Sports Day,162.74,130.37,32.37,Breakfast
2023-05-11,Thursday,Humid,273,Fest,155.73,141.41,14.32,Dinner
2023-05-12,Friday,Humid,360,Fest,183.26,144.91,38.34,Breakfast
2023-05-13,Saturday,Sunny,166,None,90.64,85.14,5.5,Lunch
2023-05-14,Sunday,Humid,309,Sports Day,162.8,124.96,37.84,Dinner
2023-05-15,Monday,Cloudy,353,Sports Day,182.57,142.17,40.4,Lunch
2023-05-16,Tuesday,Sunny,365,Fest,146.01,132.4,13.61,Dinner
2023-05-17,Wednesday,Cloudy,373,Sports Day,203.7,179.65,24.05,Breakfast
2023-05-18,Thursday,Cloudy,353,Sports Day,172.62,156.51,16.11,Breakfast
2023-05-19,Friday,Sunny,193,Seminar,77.78,70.94,6.85,Dinner
2023-05-20,Saturday,Humid,331,Fest,152.31,125.76,26.55,Breakfast
2023-05-21,Sunday,Humid,280,Sports Day,138.07,105.82,32.25,Breakfast
2023-05-22,Monday,Cloudy,258,None,151.25,121.55,29.69,Lunch
2023-05-23,Tuesday,Cloudy,271,Sports Day,116.46,89.14,27.32,Lunch
2023-05-24,Wednesday,Rainy,366,Fest,192.84,178.75,14.09,Breakfast
2023-05-25,Thursday,Cloudy,398,Seminar,207.79,186.08,21.72,Lunch
2023-05-26,Friday,Cloudy,258,Sports Day,118.02,99.21,18.81,Breakfast
2023-05-27,Saturday,Humid,321,Fest,168.9,131.11,37.79,Dinner
2023-05-28,Sunday,Sunny,275,Fest,157.25,131.06,26.19,Dinner
2023-05-29,Monday,Sunny,381,Sports Day,163.53,148.6,14.94,Lunch
2023-05-30,Tuesday,Sunny,291,None,151.41,120.13,31.28,Lunch
2023-05-31,Wednesday,Sunny,282,Seminar,144.4,132.17,12.23,Dinner
2023-06-01,Thursday,Sunny,396,Seminar,206.24,165.99,40.25,Breakfast
2023-06-02,Friday,Humid,292,Seminar,164.55,124.99,39.56,Dinner
2023-06-03,Saturday,Sunny,373,Fest,197.44,186.29,11.15,Breakfast
2023-06-04,Sunday,Humid,195,None,114.53,96.09,18.43,Dinner
2023-06-05,Monday,Cloudy,258,Sports Day,137.4,108.53,28.87,Dinner
2023-06-06,Tuesday,Rainy,287,Seminar,170.0,159.77,10.23,Breakfast
2023-06-07,Wednesday,Humid,348,Sports Day,164.45,138.98,25.47,Lunch
2023-06-08,Thursday,Rainy,373,Sports Day,209.05,159.61,49.44,Breakfast
2023-06-09,Friday,Rainy,362,Sports Day,163.1,153.18,9.92,Breakfast
2023-06-10,Saturday,Sunny,351,Sports Day,186.48,146.31,40.17,Breakfast
2023-06-11,Sunday,Cloudy,410,Fest,175.16,146.26,28.89,Dinner
2023-06-12,Monday,Cloudy,209,None,94.17,73.39,20.77,Lunch
2023-06-13,Tuesday,Cloudy,405,Seminar,181.53,145.53,36.0,Breakfast
2023-06-14,Wednesday,Rainy,395,Fest,206.71,175.13,31.58,Lunch
2023-06-15,Thursday,Sunny,310,Seminar,141.41,133.25,8.16,Lunch
2023-06-16,Friday,Humid,181,None,90.74,80.99,9.75,Lunch
2023-06-17,Saturday,Humid,219,None,129.9,105.64,24.26,Lunch
2023-06-18,Sunday,Humid,332,Seminar,140.95,108.51,32.44,Breakfast
2023-06-19,Monday,Sunny,394,Sports Day,235.97,187.42,48.55,Lunch
2023-06-20,Tuesday,Humid,373,Sports Day,193.27,146.05,47.22,Breakfast
2023-06-21,Wednesday,Rainy,276,Sports Day,128.29,105.42,22.86,Lunch
2023-06-22,Thursday,Humid,203,None,92.39,70.34,22.05,Lunch
2023-06-23,Friday,Humid,290,Sports Day,153.25,140.71,12.53,Lunch
2023-06-24,Saturday,Cloudy,280,Seminar,154.74,136.3,18.44,Dinner
2023-06-25,Sunday,Humid,232,None,138.21,120.39,17.82,Lunch
2023-06-26,Monday,Sunny,324,None,181.29,154.31,26.98,Dinner
2023-06-27,Tuesday,Cloudy,278,Seminar,146.36,114.96,31.4,Lunch
2023-06-28,Wednesday,Cloudy,201,None,99.7,80.28,19.42,Lunch
2023-06-29,Thursday,Humid,395,Fest,166.5,150.58,15.92,Breakfast
2023-06-30,Friday,Rainy,236,Sports Day,99.92,84.8,15.12,Breakfast
2023-07-01,Saturday,Sunny,360,Seminar,186.5,173.6,12.91,Dinner
2023-07-02,Sunday,Sunny,326,Seminar,179.71,138.58,41.13,Lunch
2023-07-03,Monday,Cloudy,359,Seminar,152.31,127.18,25.13,Breakfast
2023-07-04,Tuesday,Cloudy,256,None,122.79,93.63,29.16,Dinner
2023-07-05,Wednesday,Cloudy,236,None,119.28,100.97,18.31,Breakfast
2023-07-06,Thursday,Humid,211,Seminar,120.62,110.58,10.04,Breakfast
2023-07-07,Friday,Humid,212,Fest,110.72,87.52,23.2,Lunch
2023-07-08,Saturday,Rainy,292,Fest,130.97,103.7,27.27,Dinner
2023-07-09,Sunday,Sunny,330,Fest,172.86,137.38,35.48,Lunch
2023-07-10,Monday,Sunny,341,Seminar,194.22,177.31,16.92,Dinner
2023-07-11,Tuesday,Rainy,376,Seminar,224.58,193.08,31.5,Lunch
2023-07-12,Wednesday,Rainy,193,None,110.05,93.71,16.35,Breakfast
2023-07-13,Thursday,Humid,228,Sports Day,127.76,99.4,28.36,Breakfast
2023-07-14,Friday,Humid,335,Sports Day,166.88,151.56,15.32,Lunch
2023-07-15,Saturday,Rainy,338,None,198.68,187.45,11.24,Dinner
2023-07-16,Sunday,Humid,320,None,159.5,142.88,16.62,Breakfast
2023-07-17,Monday,Rainy,358,Fest,194.75,147.45,47.3,Breakfast
2023-07-18,Tuesday,Rainy,150,None,83.09,67.5,15.6,Dinner
2023-07-19,Wednesday,Sunny,205,Fest,94.61,79.96,14.66,Lunch
2023-07-20,Thursday,Cloudy,346,Sports Day,172.42,158.08,14.34,Breakfast
2023-07-21,Friday,Cloudy,398,Sports Day,164.64,150.2,14.44,Breakfast
2023-07-22,Saturday,Sunny,368,Seminar,157.37,124.45,32.92,Breakfast
2023-07-23,Sunday,Rainy,346,Fest,184.08,169.01,15.07,Breakfast
2023-07-24,Monday,Cloudy,364,Sports Day,160.02,145.16,14.85,Dinner
2023-07-25,Tuesday,Rainy,389,Seminar,171.44,153.64,17.8,Breakfast
2023-07-26,Wednesday,Humid,209,None,89.26,73.94,15.32,Lunch
2023-07-27,Thursday,Humid,232,Sports Day,106.6,99.67,6.93,Lunch
2023-07-28,Friday,Rainy,221,None,119.17,92.84,26.33,Lunch
2023-07-29,Saturday,Rainy,323,Sports Day,143.48,120.58,22.89,Lunch
2023-07-30,Sunday,Cloudy,150,None,73.79,58.7,15.09,Lunch
2023-07-31,Monday,Cloudy,160,None,81.22,75.46,5.76,Breakfast
2023-08-01,Tuesday,Rainy,368,Sports Day,171.0,145.76,25.23,Dinner
2023-08-02,Wednesday,Sunny,201,None,88.43,81.64,6.79,Breakfast
2023-08-03,Thursday,Cloudy,259,Sports Day,110.3,99.97,10.33,Lunch
2023-08-04,Friday,Cloudy,335,Seminar,140.09,126.33,13.75,Lunch
2023-08-05,Saturday,Cloudy,198,Sports Day,106.1,98.8,7.3,Lunch
2023-08-06,Sunday,Cloudy,260,Fest,143.47,113.71,29.76,Dinner
2023-08-07,Monday,Cloudy,376,Seminar,174.23,142.1,32.13,Dinner
2023-08-08,Tuesday,Sunny,325,Seminar,158.54,123.94,34.6,Lunch
2023-08-09,Wednesday,Sunny,154,None,76.37,63.56,12.81,Lunch
2023-08-10,Thursday,Rainy,350,Sports Day,172.79,159.64,13.15,Lunch
2023-08-11,Friday,Rainy,366,Seminar,213.03,191.33,21.7,Dinner
2023-08-12,Saturday,Sunny,353,Seminar,175.93,166.26,9.67,Lunch
2023-08-13,Sunday,Sunny,380,Sports Day,225.32,196.28,29.04,Dinner
2023-08-14,Monday,Humid,361,Sports Day,161.75,127.53,34.22,Dinner
2023-08-15,Tuesday,Sunny,236,Sports Day,139.25,132.13,7.12,Dinner
2023-08-16,Wednesday,Rainy,331,Seminar,181.14,136.53,44.61,Dinner
2023-08-17,Thursday,Rainy,423,Fest,214.77,186.04,28.72,Dinner
2023-08-18,Friday,Sunny,220,None,96.92,82.52,14.4,Lunch
2023-08-19,Saturday,Rainy,267,Seminar,130.39,115.08,15.3,Lunch
2023-08-20,Sunday,Sunny,179,None,78.0,65.43,12.57,Dinner
2023-08-21,Monday,Rainy,290,Fest,128.73,112.26,16.47,Lunch
2023-08-22,Tuesday,Humid,349,Sports Day,177.54,159.16,18.38,Dinner
2023-08-23,Wednesday,Rainy,305,None,125.34,96.62,28.72,Lunch
2023-08-24,Thursday,Humid,223,None,98.16,77.31,20.85,Dinner
2023-08-25,Friday,Rainy,307,Seminar,135.67,116.17,19.5,Dinner
2023-08-26,Saturday,Cloudy,219,Sports Day,88.52,78.49,10.03,Dinner
2023-08-27,Sunday,Humid,153,None,71.17,65.92,5.26,Breakfast
2023-08-28,Monday,Cloudy,208,Fest,108.25,91.0,17.26,Dinner
2023-08-29,Tuesday,Sunny,303,Seminar,149.37,122.13,27.24,Lunch
2023-08-30,Wednesday,Sunny,228,Fest,118.24,106.29,11.95,Dinner
2023-08-31,Thursday,Rainy,291,Sports Day,173.78,148.65,25.13,Breakfast
2023-09-01,Friday,Cloudy,364,Sports Day,190.28,157.7,32.58,Dinner
2023-09-02,Saturday,Cloudy,263,Seminar,140.27,126.94,13.34,Breakfast
2023-09-03,Sunday,Sunny,274,Seminar,159.68,123.94,35.74,Lunch
2023-09-04,Monday,Rainy,408,Seminar,172.15,142.88,29.27,Breakfast
2023-09-05,Tuesday,Humid,302,Fest,136.95,103.71,33.24,Breakfast
2023-09-06,Wednesday,Humid,243,Fest,133.35,101.78,31.57,Lunch
2023-09-07,Thursday,Humid,270,Fest,122.37,102.73,19.65,Dinner
2023-09-08,Friday,Cloudy,368,Fest,191.37,178.44,12.93,Breakfast
2023-09-09,Saturday,Humid,324,None,139.72,120.46,19.25,Breakfast
