date,day,weather,student_count,event,food_prepared_kg,food_consumed_kg,waste_kg,meal_type,menu_complexity,crowd_density,cost_per_kg,total_food_cost,waste_cost
2023-01-01,Sunday,Humid,414,Sports Day,224.2,185.94,38.27,Breakfast,Complex,1.1828571428571428,42.54855042762223,9539.385005872904,1628.333024865103
2023-01-02,Monday,Rainy,349,,164.86,138.2,26.66,Lunch,Simple,0.9971428571428571,68.52834595218175,11297.583113676685,1826.9657030851656
2023-01-03,Tuesday,Cloudy,401,Seminar,206.15,159.56,46.59,Lunch,Medium,1.1457142857142857,82.3636331466893,16979.262973189998,3837.3216683042547
2023-01-04,Wednesday,Cloudy,191,Fest,103.67,87.65,16.02,Dinner,Complex,0.5457142857142857,72.34495956778953,7500.001958392741,1158.9662522759882
2023-01-05,Thursday,Rainy,382,Seminar,217.31,168.74,48.57,Lunch,Medium,1.0914285714285714,73.6881615228134,16013.174380522581,3579.034005163047
2023-01-06,Friday,Cloudy,264,,150.41,142.78,7.64,Breakfast,Simple,0.7542857142857143,35.25490227667882,5302.6898514352615,269.3474533938262
2023-01-07,Saturday,Cloudy,317,,134.7,122.53,12.17,Dinner,Simple,0.9057142857142857,72.1552539556436,9719.312707825193,878.1294406401827
2023-01-08,Sunday,Rainy,197,Fest,99.72,77.65,22.07,Breakfast,Complex,0.5628571428571428,44.192565055003755,4406.882587284975,975.3299107639328
2023-01-09,Monday,Cloudy,214,,107.83,100.32,7.51,Dinner,Complex,0.6114285714285714,76.4341494419208,8241.89433432232,574.0204623088251
2023-01-10,Tuesday,Rainy,214,Seminar,120.13,102.93,17.2,Breakfast,Medium,0.6114285714285714,47.45183596312189,5700.389054249832,816.1715785656964
2023-01-11,Wednesday,Rainy,267,Fest,139.83,105.59,34.24,Lunch,Simple,0.7628571428571429,76.0069325898888,10628.049384044152,2602.477371877793
2023-01-12,Thursday,Cloudy,288,Fest,164.86,127.71,37.15,Lunch,Medium,0.8228571428571428,82.19258959793551,13550.27032111565,3053.454703563304
2023-01-13,Friday,Rainy,305,Fest,171.23,157.21,14.01,Lunch,Medium,0.8714285714285714,62.044238355173604,10623.834933556376,869.2397793559821
2023-01-14,Saturday,Rainy,265,Seminar,137.86,125.2,12.66,Dinner,Medium,0.7571428571428571,85.32173891446845,11762.454926748622,1080.1732146571705
2023-01-15,Sunday,Sunny,242,,144.11,109.69,34.42,Breakfast,Medium,0.6914285714285714,44.33277941761284,6388.796841872187,1525.934267554234
2023-01-16,Monday,Cloudy,326,Sports Day,160.13,128.05,32.08,Dinner,Medium,0.9314285714285714,91.55078712722573,14660.027542682656,2936.949251041401
